CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
AUS,2015,1,m,17.1668330447961,358.833166955204,250,436,413,1475,0.000386140600487259,0.0023730813848844,0.013132615316346,0.0456427704244981,0.127992260866536,0.00648399973310601,1,0,0
AUS,2015,1,f,13.9687277896233,199.031272210377,183,350,704,1450,0.000331533082138063,0.00130921169289809,0.00935046801028124,0.0311847156580625,0.125849310095993,0.00628941348640056,1,0,0
AUS,2015,1,b,31.1355608344194,557.864439165581,433,786,1117,2925,0.000359569554980537,0.00183971870343845,0.0112153541485794,0.037832312999509,0.126633232461401,0.00638605595668868,1,0,0
AUS,2015,2,m,17.4733836348818,334.526616365118,255,386,422,1415,0.000393035968353102,0.00221233419636354,0.0133952676226729,0.0404085077611382,0.130781438464112,0.00622024381175933,1,0,0
AUS,2015,2,f,11.4904051172708,186.509594882729,162,322,675,1357,0.000272712696597439,0.00122684510703451,0.00827746348451126,0.0286899384054175,0.120665176583516,0.00588602351796246,1,0,0
AUS,2015,2,b,28.9637887521526,521.036211247847,417,708,1097,2772,0.000334488808072116,0.00171826701202737,0.0108009299768074,0.034077961327802,0.124365851396739,0.0060520161066465,1,0,0
AUS,2015,3,m,15.7873553894107,318.212644610589,260,387,458,1439,0.000355111445090961,0.00210444455223532,0.0136579199289998,0.0405131930144054,0.141938148854415,0.006325746180298,1,0,0
AUS,2015,3,f,11.7157071783937,185.284292821606,178,314,642,1331,0.000278060004373859,0.00121878516867438,0.00909499074224077,0.0279771449046618,0.114765990172767,0.00577324782786148,1,0,0
AUS,2015,3,b,27.5030625678044,503.496937432195,438,701,1100,2770,0.000317619586835096,0.00166042620372698,0.0113448617022581,0.0337410323316232,0.124705958556438,0.00604764957265902,1,0,0
AUS,2015,4,m,13.1816753736827,304.818324626317,261,403,407,1389,0.000296500818231288,0.00201586352253961,0.0137104503902652,0.0421881570666805,0.126132809134819,0.00610594957917576,1,0,0
AUS,2015,4,f,14.6446339729922,191.355366027008,172,324,677,1379,0.000347575005467324,0.00125872019969077,0.0087884180205922,0.0288681367806064,0.121022703032653,0.00598144910189405,1,0,0
AUS,2015,4,b,27.8263093466749,496.173690653325,433,727,1084,2768,0.000321352607770401,0.00163627568771787,0.0112153541485794,0.0349924828888588,0.122892053704708,0.00604328303867154,1,0,0
AUS,2015,5,m,15.1742542092394,337.825745790761,247,351,418,1369,0.000341320709359273,0.00223415242095172,0.0129750239325498,0.0367445238967863,0.1295418039763,0.00601803093872687,1,0,0
AUS,2015,5,f,10.8144989339019,168.185501066098,160,314,658,1311,0.000256670773268177,0.00110631069241681,0.00817527257729507,0.0279771449046618,0.117626201765858,0.00568649729701458,1,0,0
AUS,2015,5,b,25.9887531431413,506.011246856859,407,665,1076,2680,0.000300131558634011,0.00166871786340277,0.0105419148694499,0.0320082546369892,0.121985101278843,0.00585115554322245,1,0,0
AUS,2015,6,m,15.0209789141966,324.979021085803,275,393,430,1438,0.000337873025426351,0.00214919281838,0.0144458768479806,0.0411413045340086,0.133260707439735,0.00632135024827556,1,0,0
AUS,2015,6,f,13.5181236673774,195.481876332623,190,335,706,1440,0.000320838466585222,0.00128586405242796,0.0097081361855379,0.0298482278441455,0.12620683654513,0.00624603822097711,1,0,0
