# ----------------------------------------
# OTexts.org
# Overview
# 20180101-20220410
# ----------------------------------------

Day Index,Page Views
01/01/2018,"2,130"
02/01/2018,"4,070"
03/01/2018,"6,272"
04/01/2018,"5,963"
05/01/2018,"6,340"
06/01/2018,"4,132"
07/01/2018,"3,697"
08/01/2018,"5,918"
09/01/2018,"7,382"
10/01/2018,"7,811"
11/01/2018,"6,655"
12/01/2018,"6,150"
13/01/2018,"4,274"
14/01/2018,"3,505"
15/01/2018,"5,138"
16/01/2018,"6,777"
17/01/2018,"6,995"
18/01/2018,"6,966"
19/01/2018,"6,208"
20/01/2018,"4,247"
21/01/2018,"4,090"
22/01/2018,"6,700"
23/01/2018,"11,584"
24/01/2018,"11,000"
25/01/2018,"10,462"
26/01/2018,"9,644"
27/01/2018,"7,075"
28/01/2018,"6,341"
29/01/2018,"9,223"
30/01/2018,"12,241"
31/01/2018,"12,083"
01/02/2018,"12,550"
02/02/2018,"11,737"
03/02/2018,"7,603"
04/02/2018,"7,074"
05/02/2018,"10,233"
06/02/2018,"13,297"
07/02/2018,"11,817"
08/02/2018,"12,454"
09/02/2018,"10,392"
10/02/2018,"7,812"
11/02/2018,"6,885"
12/02/2018,"10,259"
13/02/2018,"12,534"
14/02/2018,"11,002"
15/02/2018,"9,320"
16/02/2018,"9,334"
17/02/2018,"7,003"
18/02/2018,"5,939"
19/02/2018,"8,687"
20/02/2018,"12,207"
21/02/2018,"11,617"
22/02/2018,"11,891"
23/02/2018,"10,632"
24/02/2018,"7,280"
25/02/2018,"6,225"
26/02/2018,"9,975"
27/02/2018,"13,507"
28/02/2018,"13,148"
01/03/2018,"11,370"
02/03/2018,"10,357"
03/03/2018,"8,297"
04/03/2018,"6,999"
05/03/2018,"10,150"
06/03/2018,"13,981"
07/03/2018,"12,151"
08/03/2018,"12,995"
09/03/2018,"11,350"
10/03/2018,"7,690"
11/03/2018,"6,736"
12/03/2018,"9,168"
13/03/2018,"13,066"
14/03/2018,"13,010"
15/03/2018,"12,645"
16/03/2018,"12,307"
17/03/2018,"8,141"
18/03/2018,"6,276"
19/03/2018,"10,876"
20/03/2018,"14,441"
21/03/2018,"13,677"
22/03/2018,"13,014"
23/03/2018,"11,538"
24/03/2018,"8,253"
25/03/2018,"6,471"
26/03/2018,"11,773"
27/03/2018,"14,157"
28/03/2018,"13,057"
29/03/2018,"12,395"
30/03/2018,"9,418"
31/03/2018,"6,587"
01/04/2018,"6,746"
02/04/2018,"9,081"
03/04/2018,"13,315"
04/04/2018,"13,381"
05/04/2018,"13,365"
06/04/2018,"13,248"
07/04/2018,"8,307"
08/04/2018,"7,815"
09/04/2018,"11,779"
10/04/2018,"13,615"
11/04/2018,"13,729"
12/04/2018,"14,383"
13/04/2018,"12,468"
14/04/2018,"8,209"
15/04/2018,"8,180"
16/04/2018,"12,925"
17/04/2018,"16,427"
18/04/2018,"15,277"
19/04/2018,"15,418"
20/04/2018,"14,055"
21/04/2018,"7,967"
22/04/2018,"8,340"
23/04/2018,"13,346"
24/04/2018,"15,393"
25/04/2018,"14,227"
26/04/2018,"14,423"
27/04/2018,"11,458"
28/04/2018,"7,449"
29/04/2018,"7,012"
30/04/2018,"9,517"
01/05/2018,"11,290"
02/05/2018,"13,271"
03/05/2018,"13,794"
04/05/2018,"10,953"
05/05/2018,"7,796"
06/05/2018,"6,902"
07/05/2018,"10,435"
08/05/2018,"14,346"
09/05/2018,"12,574"
10/05/2018,"10,859"
11/05/2018,"10,495"
12/05/2018,"6,421"
13/05/2018,"6,094"
14/05/2018,"9,978"
15/05/2018,"11,450"
16/05/2018,"13,250"
17/05/2018,"12,797"
18/05/2018,"11,331"
19/05/2018,"8,373"
20/05/2018,"7,378"
21/05/2018,"10,197"
22/05/2018,"12,235"
23/05/2018,"12,694"
24/05/2018,"12,716"
25/05/2018,"12,575"
26/05/2018,"7,651"
27/05/2018,"7,576"
28/05/2018,"11,086"
29/05/2018,"11,021"
30/05/2018,"11,976"
31/05/2018,"11,558"
01/06/2018,"10,850"
02/06/2018,"8,319"
03/06/2018,"7,918"
04/06/2018,"11,044"
05/06/2018,"15,446"
06/06/2018,"11,294"
07/06/2018,"10,113"
08/06/2018,"9,903"
09/06/2018,"6,455"
10/06/2018,"5,934"
11/06/2018,"8,771"
12/06/2018,"11,372"
13/06/2018,"9,986"
14/06/2018,"9,144"
15/06/2018,"8,529"
16/06/2018,"5,242"
17/06/2018,"4,655"
18/06/2018,"7,633"
19/06/2018,"11,198"
20/06/2018,"12,226"
21/06/2018,"10,757"
22/06/2018,"11,133"
23/06/2018,"6,712"
24/06/2018,"5,163"
25/06/2018,"8,618"
26/06/2018,"10,952"
27/06/2018,"10,199"
28/06/2018,"10,494"
29/06/2018,"9,386"
30/06/2018,"5,801"
01/07/2018,"4,518"
02/07/2018,"6,920"
